Names,Categories,Categories_code,ScrapData
Absolute_zero,Chemistry,1,"
 Absolute zero is the lowest limit of the thermodynamic temperature scale, a state at which the enthalpy and entropy of a cooled ideal gas reach their minimum value, taken as zero kelvins. The fundamental particles of nature have minimum vibrational motion, retaining only quantum mechanical, zero-point energy-induced particle motion. The theoretical temperature is determined by extrapolating the ideal gas law; by international agreement, absolute zero is taken as −273.15° on the Celsius scale (International System of Units),[1][2] which equals −459.67° on the Fahrenheit scale (United States customary units or Imperial units).[3] The corresponding Kelvin and Rankine temperature scales set their zero points at absolute zero by definition.
 It is commonly thought of as the lowest temperature possible, but it is not the lowest enthalpy state possible, because all real substances begin to depart from the ideal gas when cooled as they approach the change of state to liquid, and then to solid; and the sum of the enthalpy of vaporization (gas to liquid) and enthalpy of fusion (liquid to solid) exceeds the ideal gas's change in enthalpy to absolute zero. In the quantum-mechanical description, matter (solid) at absolute zero is in its ground state, the point of lowest internal energy.
 The laws of thermodynamics indicate that absolute zero cannot be reached using only thermodynamic means, because the temperature of the substance being cooled approaches the temperature of the cooling agent asymptotically,[4] and a system at absolute zero still possesses quantum mechanical zero-point energy, the energy of its ground state at absolute zero. The kinetic energy of the ground state cannot be removed. 
 Scientists and technologists routinely achieve temperatures close to absolute zero, where matter exhibits quantum effects such as Bose–Einstein condensate, superconductivity and superfluidity.
"
Absorbance,Chemistry,1,"In optics, absorbance or decadic absorbance is the common logarithm of the ratio of incident to transmitted radiant power through a material, and spectral absorbance or spectral decadic absorbance is the common logarithm of the ratio of incident to transmitted spectral radiant power through a material.[1] Absorbance is dimensionless, and in particular is not a length, though it is a monotonically increasing function of path length, and approaches zero as the path length approaches zero. The use of the term ""optical density"" for absorbance is discouraged.[1]
In physics, a closely related quantity called ""optical depth"" is used instead of absorbance: the natural logarithm of the ratio of incident to transmitted radiant power through a material. The optical depth equals the absorbance times ln(10).
 The term absorption refers to the physical process of absorbing light, while absorbance does not always measure absorption: it measures attenuation (of transmitted radiant power). Attenuation can be caused by absorption, but also reflection, scattering, and other physical processes.
"
Absorption_(chemistry),Chemistry,1,"In chemistry, absorption is a physical or chemical phenomenon or a process in which atoms, molecules or ions enter some bulk phase – liquid or solid material. This is a different process from adsorption, since molecules undergoing absorption are taken up by the volume, not by the surface (as in the case for adsorption). A more general term is sorption, which covers absorption, adsorption, and ion exchange. Absorption is a condition in which something takes in another substance.[1] In many processes important in technology, the chemical absorption is used in place of the physical process, e.g., absorption of carbon dioxide by sodium hydroxide – such acid-base processes do not follow the Nernst partition law.
 For some examples of this effect, see liquid-liquid extraction. It is possible to extract a solute from one liquid phase to another  without a chemical reaction. Examples of such solutes are noble gases and osmium tetroxide.[1] The process of absorption means that a substance captures and transforms energy. The absorbent distributes the material it captures throughout whole and adsorbent only distributes it through the surface.
 The process of gas or liquid which penetrate into the body of adsorbent is commonly known as absorption.
 Absorption
"
Abundance_(chemistry),Chemistry,1,"In a chemical reaction, a reactant is considered to be in abundance if the quantity of that substance is high and virtually unchanged by the reaction.  Abundance differs from excess in that a reactant in excess is simply any reactant other than the limiting reagent;[1] the amount by which a reactant is in excess is often specified, such as with terms like ""twofold excess"", indicating that there is twice the amount of reactant necessary for the limiting reagent to be completely reacted.  In this case, should the reaction go to completion, the quantity of the reactant in excess will have halved.
 When performing kinetic or thermodynamic studies, it is often useful to have one or more reactants in abundance, as it allows their concentrations to be treated as constants (or parameters) rather than as variables.
"
Accuracy,Chemistry,1,"In measurement of a set, accuracy is closeness of the measurements to a specific value, while precision is the closeness of the measurements to each other.
 Accuracy has two definitions:
 Precision is a description of random errors, a measure of statistical variability.
 In simpler terms, given a set of data points from repeated measurements of the same quantity, the set can be said to be accurate if their average is close to the true value of the quantity being measured, while the set can be said to be precise if the values are close to each other.  In the first, more common definition of ""accuracy"" above, the two concepts are independent of each other, so a particular set of data can be said to be either accurate, or precise, or both, or neither.
"
Acid,Chemistry,1,"
 An acid is a molecule or ion capable of donating a proton (hydrogen ion H+) (a Brønsted–Lowry acid), or, alternatively, capable of forming a covalent bond with an electron pair (a Lewis acid).[1] The first category of acids are the proton donors, or Brønsted–Lowry acids. In the special case of aqueous solutions, proton donors form the hydronium ion H3O+ and are known as Arrhenius acids. Brønsted and Lowry generalized the Arrhenius theory to include non-aqueous solvents. A Brønsted or Arrhenius acid usually contains a hydrogen atom bonded to a chemical structure that is still energetically favorable after loss of H+.
 Aqueous Arrhenius acids have characteristic properties which provide a practical description of an acid.[2] Acids form aqueous solutions with a sour taste, can turn blue litmus red, and react with bases and certain metals (like calcium) to form salts. The word acid is derived from the Latin acidus/acēre, meaning 'sour'.[3] An aqueous solution of an acid has a pH less than 7 and is colloquially also referred to as ""acid"" (as in ""dissolved in acid""), while the strict definition refers only to the solute.[1] A lower pH means a higher acidity, and thus a higher concentration of positive hydrogen ions in the solution. Chemicals or substances having the property of an acid are said to be acidic.
 Common aqueous acids include hydrochloric acid (a solution of hydrogen chloride which is found in gastric acid in the stomach and activates digestive enzymes), acetic acid (vinegar is a dilute aqueous solution of this liquid), sulfuric acid (used in car batteries), and citric acid (found in citrus fruits). As these examples show, acids (in the colloquial sense) can be solutions or pure substances, and can be derived from acids (in the strict[1] sense) that are solids, liquids, or gases. Strong acids and some concentrated weak acids are corrosive, but there are exceptions such as carboranes and boric acid.
 The second category of acids are Lewis acids, which form a covalent bond with an electron pair. An example is boron trifluoride (BF3), whose boron atom has a vacant orbital which can form a covalent bond by sharing a lone pair of electrons on an atom in a base, for example the nitrogen atom in ammonia (NH3). Lewis considered this as a generalization of the Brønsted definition, so that an acid is a chemical species that accepts electron pairs either directly or by releasing protons (H+) into the solution, which then accept electron pairs. However, hydrogen chloride, acetic acid, and most other Brønsted–Lowry acids cannot form a covalent bond with an electron pair and are therefore not Lewis acids.[4] Conversely, many Lewis acids are not Arrhenius or Brønsted–Lowry acids. In modern terminology, an acid is implicitly a Brønsted acid and not a Lewis acid, since chemists almost always refer to a Lewis acid explicitly as a Lewis acid.[4]"
Acid_anhydride,Chemistry,1,"An acid anhydride is a type of chemical compound derived by the removal of water molecules from an acid.
 In organic chemistry, organic acid anhydrides contain the functional group R(CO)O(CO)R'. Organic acid anhydrides often form when one equivalent of water is removed from two equivalents of an organic acid in a dehydration reaction.
 In inorganic chemistry, an acid anhydride refers to an acidic oxide, an oxide that reacts with water to form an oxyacid (an inorganic acid that contains oxygen or carbonic acid), or with a base to form a salt.
"
Acid_dissociation_constant,Chemistry,1,"An acid dissociation constant, Ka, (also known as acidity constant, or acid-ionization constant) is a quantitative measure of the strength of an acid in solution. It is the equilibrium constant for a chemical reaction
 known as dissociation in the context of acid–base reactions. The chemical species HA is an acid that dissociates into A−, the conjugate base of the acid and a hydrogen ion, H+.[note 1]  The system is said to be in equilibrium when the concentrations of its components will not change over time, because both forward and backward reactions are occurring at the same rate.[1] The dissociation constant is defined by[note 2] where quantities in square brackets represent the concentrations of the species at equilibrium.[note 3][2]"
Actinoid,Chemistry,1,"
 The actinoid /ˈæktɪnɔɪd/ (IUPAC nomenclature, also called actinide[1] /ˈæktɪnaɪd/) series encompasses the 15 metallic chemical elements with atomic numbers from 89 to 103, actinium through lawrencium. The actinoid series derives its name from the first element in the series, actinium. The informal chemical symbol An is used in general discussions of actinoid chemistry to refer to any actinoid.[2][3][4] Strictly speaking, actinium has been labeled as group 3 element, but is often included in any general discussion of the chemistry of the actinoid elements. Since ""actinoid"" means ""actinium-like"" (cf. humanoid or android), it has been argued due semantic reasons that actinium cannot logically be an actinoid, but IUPAC acknowledges its inclusion based on common usage.[5] All but one of the actinides are f-block elements, with the exception being either actinium or lawrencium. The series mostly corresponds to the filling of the 5f electron shell, although actinium and thorium lack any 5f electrons, and curium and lawrencium have the same number as the preceding element. In comparison with the lanthanides, also mostly f-block elements, the actinides show much more variable valence. They all have very large atomic and ionic radii and exhibit an unusually large range of physical properties. While actinium and the late actinides (from americium onwards) behave similarly to the lanthanides, the elements thorium, protactinium, and uranium are much more similar to transition metals in their chemistry, with neptunium and plutonium occupying an intermediate position.
 All actinides are radioactive and release energy upon radioactive decay; naturally occurring uranium and thorium, and synthetically produced plutonium are the most abundant actinides on Earth. These are used in nuclear reactors and nuclear weapons. Uranium and thorium also have diverse current or historical uses, and americium is used in the ionization chambers of most modern smoke detectors.
 Of the actinides, primordial thorium and uranium occur naturally in substantial quantities. The radioactive decay of uranium produces transient amounts of actinium and protactinium, and atoms of neptunium and plutonium are occasionally produced from transmutation reactions in uranium ores. The other actinides are purely synthetic elements.[2][6] Nuclear weapons tests have released at least six actinides heavier than plutonium into the environment; analysis of debris from a 1952 hydrogen bomb explosion showed the presence of americium, curium, berkelium, californium, einsteinium and fermium.[7] In presentations of the periodic table, the lanthanides and the actinides are customarily shown as two additional rows below the main body of the table,[2] with placeholders or else a selected single element of each series (either lanthanum or lutetium, and either actinium or lawrencium, respectively) shown in a single cell of the main table, between barium and hafnium, and radium and rutherfordium, respectively.  This convention is entirely a matter of aesthetics and formatting practicality; a rarely used wide-formatted periodic table inserts the lanthanide and actinide series in their proper places, as parts of the table's sixth and seventh rows (periods).
 Primordial  From decay  Synthetic Border shows natural occurrence of the element
"
Activated_complex,Chemistry,1,"In chemistry an activated complex is defined by the International Union of Pure and Applied Chemistry (IUPAC) as ""that assembly of atoms which corresponds to an arbitrary infinitesimally small region at or near the col (saddle point) of a potential energy surface"".[1] In other words, it refers to a collection of intermediate structures in a chemical reaction that persist while bonds are breaking and new bonds are forming.  It therefore represents not one defined state, but rather a range of transient configurations that a collection of atoms passes through in between clearly defined products and reactants.
 It is the subject of transition state theory - also known as activated complex theory - which studies the kinetics of reactions that pass through a defined intermediate state with standard Gibbs energy of activation ΔG°‡.[2] The state represented by the double dagger symbol is known as the transition state and represents the exact configuration that has an equal probability of forming either the reactants or products of the given reaction.[3] The activated complex is often confused with the transition state and is used interchangeably in many textbooks. However, it differs from the transition state in that the transition state represents only the highest potential energy configuration of the atoms during the reaction while the activated complex refers to a range of configurations near the transition state that the atoms pass through in the transformation from products to reactants. This can be visualized in terms of a reaction coordinate, where the transition state is the molecular configuration at the peak of the diagram while the activated complex can refer to any point near the maximum. Activated complex has partial reactant and partial product character.[4]"
Activation_energy,Chemistry,1,"In chemistry and physics, activation energy is the energy that must be provided to compounds to result in a chemical reaction.[1]The activation energy (Ea) of a reaction is measured in joules per mole (J/mol), kilojoules per mole (kJ/mol) or kilocalories per mole (kcal/mol).[2] Activation energy can be thought of as the magnitude of the potential barrier (sometimes called the energy barrier) separating minima of the potential energy surface pertaining to the initial and final thermodynamic state. For a chemical reaction to proceed at a reasonable rate, the temperature of the system should be high enough such that there exists an appreciable number of molecules with translational energy equal to or greater than the activation energy. The term Activation Energy was introduced in 1889 by the Swedish scientist Svante Arrhenius.[3]"
Activity_series,Chemistry,1,"In chemistry, a reactivity series (or activity series) is an empirical, calculated, and structurally analytical progression[1] of a series of metals, arranged by their ""reactivity"" from highest to lowest.[2][3][4] It is used to summarize information about the reactions of metals with acids and water, single displacement reactions and the extraction of metals from their ores.
"
Actual_yield,Chemistry,1,"
 In chemistry, yield, also referred to as reaction yield, is a measure of the quantity of moles of a product formed in relation to the reactant consumed, obtained in a chemical reaction, usually expressed as a percentage. [1]  Yield is one of the primary factors that scientists must consider in organic and inorganic chemical synthesis processes.[2] In chemical reaction engineering, ""yield"",  ""conversion"" and ""selectivity"" are terms used to describe ratios of how much of a reactant was consumed (conversion),  how much desired product was formed (yield) in relation to the undesired product (selectivity), represented as X, Y, and S.
"
